AC-No.;No.;Name;Time;State;New State;Exception;Operation;;;;;;;;;
39;;39;12/16/2015 9:00 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/16/2015 6:42 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/17/2015 9:06 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/17/2015 4:47 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/20/2015 8:57 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/20/2015 7:35 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/21/2015 8:47 AM;C/In;;Invalid;;;;;;;;;;
39;;39;12/21/2015 8:42 PM;C/Out;;Invalid;;;;;;;;;;
39;;39;12/22/2015 9:18 AM;C/In;;Invalid;;;;;;;;;;
39;;39;12/22/2015 9:09 PM;C/Out;;Invalid;;;;;;;;;;
39;;39;12/23/2015 9:11 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/23/2015 7:19 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/24/2015 8:45 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/24/2015 4:37 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/27/2015 9:19 AM;C/In;;Invalid;;;;;;;;;;
39;;39;12/27/2015 9:37 PM;C/Out;;Invalid;;;;;;;;;;
39;;39;12/28/2015 9:23 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/28/2015 7:10 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/29/2015 9:13 AM;C/In;OverTime In;FOT;;;;;;;;;;
39;;39;12/29/2015 8:11 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/30/2015 9:11 AM;C/Out;OverTime In;FOT;;;;;;;;;;
39;;39;12/30/2015 7:08 PM;C/Out;OverTime Out;FOT;;;;;;;;;;
39;;39;12/31/2015 9:18 AM;C/In;;Invalid;;;;;;;;;;
